vendor,muni,state,type,bucket,product,since,source,evidence,confidence,pop,ip
Tyler Technologies,Calera,AL,muni,small (<15K),Munis Self Service,,dns_strict,caleraal.munisselfservice.com,0.95,,98.88.154.228
Tyler Technologies,Prattville,AL,muni,20K-50K,Munis Self Service,,dns_strict,prattvilleal.munisselfservice.com,0.95,35420,98.82.247.144
Tyler Technologies,Glendale,AZ,muni,100K+,Munis Self Service,,dns_strict,glendaleaz.munisselfservice.com,0.95,240126,3.133.252.109
Tyler Technologies,Maricopa,AZ,muni,20K-50K,Munis Self Service,,dns_strict,maricopaaz.munisselfservice.com,0.95,48602,3.133.252.109
Tyler Technologies,Queen Creek,AZ,muni,20K-50K,Munis Self Service,,dns_strict,queencreekaz.munisselfservice.com,0.95,34614,54.146.243.192
Tyler Technologies,Scottsdale,AZ,muni,100K+,Munis Self Service,,dns_strict,scottsdaleaz.munisselfservice.com,0.95,236839,52.206.229.65
Tyler Technologies,Yuma,AZ,muni,50K-100K,Hosted services,,dns_strict,yumaaz.tylerhost.net,0.95,95548,98.86.192.21
Tyler Technologies,Albany,CA,muni,10K-20K,Munis Self Service,,dns_strict,albanyca.munisselfservice.com,0.95,19735,3.133.252.109
Tyler Technologies,Barstow,CA,muni,20K-50K,Munis Self Service,,dns_strict,barstowca.munisselfservice.com,0.95,23692,3.140.137.222
Tyler Technologies,Benicia,CA,muni,20K-50K,Munis Self Service,,dns_strict,beniciaca.munisselfservice.com,0.95,28167,3.140.137.222
Tyler Technologies,Coalinga,CA,muni,10K-20K,Munis Self Service,,dns_strict,coalingaca.munisselfservice.com,0.95,16564,3.133.252.109
Tyler Technologies,Danville,CA,muni,20K-50K,Munis Self Service,,dns_strict,danvilleca.munisselfservice.com,0.95,44400,3.140.137.222
Tyler Technologies,Dixon,CA,muni,10K-20K,Hosted services,,dns_strict,dixonca.tylerhost.net,0.95,19390,3.213.165.239
Tyler Technologies,Fontana,CA,muni,100K+,Munis Self Service,,dns_strict,fontanaca.munisselfservice.com,0.95,212704,3.140.137.222
Tyler Technologies,Indio,CA,muni,50K-100K,Munis Self Service,,dns_strict,indioca.munisselfservice.com,0.95,87533,3.133.252.109
Tyler Technologies,La Quinta,CA,muni,20K-50K,Hosted services,,dns_strict,laquintaca.tylerhost.net,0.95,40476,52.22.245.154
Tyler Technologies,Lodi,CA,muni,50K-100K,Munis Self Service,,dns_strict,lodica.munisselfservice.com,0.95,64596,3.133.252.109
Tyler Technologies,Morgan Hill,CA,muni,20K-50K,Munis Self Service,,dns_strict,morganhillca.munisselfservice.com,0.95,42948,3.140.137.222
Tyler Technologies,Portola Valley,CA,muni,small (<15K),Hosted services,,dns_strict,portolavalleyca.tylerhost.net,0.95,,3.213.165.239
Tyler Technologies,Rancho Mirage,CA,muni,10K-20K,Munis Self Service,,dns_strict,ranchomirageca.munisselfservice.com,0.95,18083,98.89.152.67
Tyler Technologies,Santee,CA,muni,50K-100K,Hosted services,,dns_strict,santeeca.tylerhost.net,0.95,57787,3.213.165.239
Tyler Technologies,Seal Beach,CA,muni,20K-50K,Hosted services,,dns_strict,sealbeachca.tylerhost.net,0.95,24619,52.22.245.154
Tyler Technologies,Shafter,CA,muni,10K-20K,Munis Self Service,,dns_strict,shafterca.munisselfservice.com,0.95,18336,3.140.137.222
Tyler Technologies,Tracy,CA,muni,50K-100K,Munis Self Service,,dns_strict,tracyca.munisselfservice.com,0.95,87075,3.133.252.109
Tyler Technologies,Vacaville,CA,muni,50K-100K,Munis Self Service,,dns_strict,vacavilleca.munisselfservice.com,0.95,96803,3.133.252.109
Tyler Technologies,Bloomfield,CT,muni,20K-50K,Munis Self Service,,dns_strict,bloomfieldct.munisselfservice.com,0.95,21535,3.140.137.222
Tyler Technologies,Branford,CT,muni,20K-50K,Munis Self Service,,dns_strict,branfordct.munisselfservice.com,0.95,29438,3.140.137.222
Tyler Technologies,Bristol,CT,muni,50K-100K,Munis Self Service,,dns_strict,bristolct.munisselfservice.com,0.95,60452,208.64.237.123
Tyler Technologies,East Haddam,CT,muni,small (<15K),Munis Self Service,,dns_strict,easthaddamct.munisselfservice.com,0.95,,3.140.137.222
Tyler Technologies,East Haven,CT,muni,20K-50K,Munis Self Service,,dns_strict,easthavenct.munisselfservice.com,0.95,29257,3.140.137.222
Tyler Technologies,East Windsor,CT,muni,small (<15K),Munis Self Service,,dns_strict,eastwindsorct.munisselfservice.com,0.95,,3.133.252.109
Tyler Technologies,Fairfield,CT,muni,50K-100K,Munis Self Service,,dns_strict,fairfieldct.munisselfservice.com,0.95,59052,3.140.137.222
Tyler Technologies,Guilford,CT,muni,20K-50K,Munis Self Service,,dns_strict,guilfordct.munisselfservice.com,0.95,22498,3.140.137.222
Tyler Technologies,Hartford,CT,muni,100K+,Munis Self Service,,dns_strict,hartfordct.munisselfservice.com,0.95,121054,3.133.252.109
Tyler Technologies,Milford,CT,muni,50K-100K,Munis Self Service,,dns_strict,milfordct.munisselfservice.com,0.95,52759,3.140.137.222
Tyler Technologies,Naugatuck,CT,muni,20K-50K,Munis Self Service,,dns_strict,naugatuckct.munisselfservice.com,0.95,31538,208.64.237.126
Tyler Technologies,New Canaan,CT,muni,10K-20K,Munis Self Service,,dns_strict,newcanaanct.munisselfservice.com,0.95,19738,3.140.137.222
Tyler Technologies,New Haven,CT,muni,100K+,Munis Self Service,,dns_strict,newhavenct.munisselfservice.com,0.95,130322,3.133.252.109
Tyler Technologies,New London,CT,muni,20K-50K,Munis Self Service,,dns_strict,newlondonct.munisselfservice.com,0.95,27179,3.140.137.222
Tyler Technologies,Norwalk,CT,muni,50K-100K,Munis Self Service,,dns_strict,norwalkct.munisselfservice.com,0.95,88485,52.200.58.203
Tyler Technologies,Norwich,CT,muni,20K-50K,Munis Self Service,,dns_strict,norwichct.munisselfservice.com,0.95,39899,3.133.252.109
Tyler Technologies,Orange,CT,muni,small (<15K),Munis Self Service,,dns_strict,orangect.munisselfservice.com,0.95,,3.133.252.109
Tyler Technologies,Stratford,CT,muni,50K-100K,Munis Self Service,,dns_strict,stratfordct.munisselfservice.com,0.95,51384,3.140.137.222
Tyler Technologies,Westport,CT,muni,20K-50K,Munis Self Service,,dns_strict,westportct.munisselfservice.com,0.95,26391,3.133.252.109
Tyler Technologies,Wethersfield,CT,muni,20K-50K,Munis Self Service,,dns_strict,wethersfieldct.munisselfservice.com,0.95,26668,3.133.252.109
Tyler Technologies,New Castle,DE,muni,small (<15K),Munis Self Service,,dns_strict,newcastlede.munisselfservice.com,0.95,,208.64.237.155
Tyler Technologies,Newark,DE,muni,20K-50K,Munis Self Service,,dns_strict,newarkde.munisselfservice.com,0.95,33817,208.64.237.126
Tyler Technologies,Rehoboth Beach,DE,muni,small (<15K),Munis Self Service,,dns_strict,rehobothbeachde.munisselfservice.com,0.95,,208.64.237.123
Tyler Technologies,Clermont,FL,muni,20K-50K,Munis Self Service,,dns_strict,clermontfl.munisselfservice.com,0.95,32390,3.140.137.222
Tyler Technologies,Deltona,FL,muni,50K-100K,Munis Self Service,,dns_strict,deltonafl.munisselfservice.com,0.95,88474,54.167.196.3
Tyler Technologies,Jupiter,FL,muni,50K-100K,Munis Self Service,,dns_strict,jupiterfl.munisselfservice.com,0.95,62707,3.140.137.222
Tyler Technologies,Lynn Haven,FL,muni,20K-50K,Munis Self Service,,dns_strict,lynnhavenfl.munisselfservice.com,0.95,20156,3.140.137.222
Tyler Technologies,Madeira Beach,FL,muni,small (<15K),Munis Self Service,,dns_strict,madeirabeachfl.munisselfservice.com,0.95,,3.140.137.222
Tyler Technologies,Maitland,FL,muni,10K-20K,Munis Self Service,,dns_strict,maitlandfl.munisselfservice.com,0.95,17463,3.140.137.222
Tyler Technologies,Marco Island,FL,muni,10K-20K,Munis Self Service,,dns_strict,marcoislandfl.munisselfservice.com,0.95,17690,3.140.137.222
Tyler Technologies,Neptune Beach,FL,muni,small (<15K),Hosted services,,dns_strict,neptunebeachfl.tylerhost.net,0.95,,44.216.62.191
Tyler Technologies,New Smyrna Beach,FL,muni,20K-50K,Munis Self Service,,dns_strict,newsmyrnabeachfl.munisselfservice.com,0.95,24298,208.64.237.103
Tyler Technologies,North Bay Village,FL,muni,small (<15K),Hosted services,,dns_strict,northbayvillagefl.tylerhost.net,0.95,,35.168.3.81
Tyler Technologies,Pembroke Pines,FL,muni,100K+,Hosted services,,dns_strict,pembrokepinesfl.tylerhost.net,0.95,166611,207.245.141.7
Tyler Technologies,Riviera Beach,FL,muni,20K-50K,Munis Self Service,,dns_strict,rivierabeachfl.munisselfservice.com,0.95,34005,208.64.237.29
Tyler Technologies,Sanibel,FL,muni,small (<15K),Munis Self Service,,dns_strict,sanibelfl.munisselfservice.com,0.95,,3.133.252.109
Tyler Technologies,South Pasadena,FL,muni,small (<15K),Hosted services,,dns_strict,southpasadenafl.tylerhost.net,0.95,,98.86.192.21
Tyler Technologies,Umatilla,FL,muni,small (<15K),Hosted services,,dns_strict,umatillafl.tylerhost.net,0.95,,98.86.192.21
Tyler Technologies,Wellington,FL,muni,50K-100K,Munis Self Service,,dns_strict,wellingtonfl.munisselfservice.com,0.95,62560,3.133.252.109
Tyler Technologies,Weston,FL,muni,50K-100K,Munis Self Service,,dns_strict,westonfl.munisselfservice.com,0.95,69959,3.133.252.109
